genus,species,score
Nothocalais,alpestris,0.003053086753909787
Nothocalais,troximoides,0.0013540780415416277
Oncosiphon,suffruticosum,8.273214640280628e-05
Onopordum,acanthium,0.016636332247709724
Onopordum,tauricum,6.618571712224501e-05
Oreostemma,alpigenum,0.004560013485522269
Oreostemma,elatum,8.757487651942411e-06
Packera,bolanderi,0.0041018701253503565
Packera,breweri,7.88173888674817e-05
Packera,cana,0.002637894564776803
Packera,clevelandii,6.130241356359688e-05
Packera,cymbalaria,0.00023763366445189772
Packera,eurycephala,0.0005323214150596736
Packera,flettii,0.001183514273650468
Packera,greenei,0.00036781448138158124
Packera,hesperia,0.0006513444204701514
Packera,hybrid,1.6546429280561253e-05
Packera,indecora,0.00019719304267779345
Packera,macounii,0.003255328219308786
Packera,multilobata,2.6272462955827234e-05
Packera,pauciflora,0.0001789732051544283
Packera,paupercula,9.324923148960196e-05
Packera,pseudaurea,0.0014417108229867002
Packera,streptanthifolia,0.0007430071408824907
Packera,subnuda,0.0008999139746328753
Pentachaeta,exilis,3.5029950607769645e-05
Petasites,fragrans,0.0001382344707222651
Petasites,frigidus,0.008700591361766189
Petasites,hybridus,1.6546429280561253e-05
Petasites,japonicus,0.00034892523885307093
Phalacroseris,bolanderi,8.757487651942411e-06
Picris,hieracioides,0.0001789732051544283
Picrothamnus,desertorum,3.309285856112251e-05
Plecostachys,serpyllifolia,1.7514975303884822e-05
